Current,Voltage,High,Low
1.5,0.4,-0.643,0.449
0,0,0.003,
-1.5,0.4,0.652,-0.533
1.25,0.4,-0.537,0.336
-1.25,0.3,0.549,-0.382
1.75,0.4,-0.756,0.487
-1.75,0.4,0.764,-0.447
2,0.5,-0.865,0.444
-2,0.5,0.877,-0.486
